Avg_Runs_Per_Wicket_Batting,Avg_Runs_Per_Six_Balls_Batting,Number_Of_Team_Innings_Batting,Highest_Team_Score_Batting,Lowest_Completed_Score_Batting,Team_ID
30.76,4.87,716,481,86,england
33.98,4.98,909,434,70,australia
35.47,5.1,597,439,69,south africa
29.93,4.74,779,372,54,west indies
29.08,4.8,735,402,64,new zealand
33.48,5.04,942,418,54,india
30.47,4.81,901,399,43,pakistan
29.56,4.89,815,443,43,sri lanka
25.22,4.49,513,351,35,zimbabwe
25.14,4.52,352,329,58,bangladesh
26.98,4.81,137,331,77,ireland
26.66,4.72,105,338,58,afghanistan
